Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
Savage Harvest,(1981),AA,83 min,"
Adventure, Horror, Thriller            ",5.9,,"
    A family in Africa finds itself under attack by a pride of lions.",Robert L. Collins,Tom Skerritt,Michelle Phillips,Shawn Stevens,Anne-Marie Martin,457,
Shock Treatment,(1964),Rejected,94 min,"
Drama, Mystery, Thriller            ",6.6,,"
    An actor hired to locate $1 million in stolen loot endures the rigors of an insane asylum.",Denis Sanders,Stuart Whitman,Carol Lynley,Roddy McDowall,Lauren Bacall,444,
 24: Legacy,(2016–2017),15,44 min,"
Action, Crime, Drama            ",7.0,,"
    Carter and Grimes try to find out the location of the terrorists for whom they've been searching. Amira and Khasan get a visit from an unexpected guest. Progress is made on the leak.",Nelson McCormick,Corey Hawkins,Miranda Otto,Anna Diop,Teddy Sears,443,
 Legends,(2014–2015),16,45 min,"
Action, Crime, Drama            ",7.8,,"
    Martin, Crystal and Troy Buchannan go undercover when a chemistry teacher and his family are kidnapped. The case takes on urgency when it's feared the kidnappers will use the teacher to manufacture a deadly gas.",Brad Turner,Sean Bean,Ali Larter,Morris Chestnut,Tina Majorino,436,
Scariest Places on Earth,(2000– ),,,"
Horror, Mystery, Reality-TV            ",7.3,,"
    Host Linda Blair and narrator Zelda Rubinstien explore some of the most reputedly haunted locations in the world, providing history, live camera investigation, and interviews with individuals who have experienced phenomena.",Linda Blair,Zelda Rubinstein,Alan Robson,Siwan Morris,,433,
House of the Damned,(1963),X,62 min,"
Horror, Mystery, Thriller            ",5.1,,"
    An architect and his wife are staying in an empty castle in California. They are joined by an unhappily married lawyer and his wife. Things start getting strange when they spot a half man/...                See full summary »
",Maury Dexter,Ron Foster,Merry Anders,Richard Crane,Erika Peters,420,
Back in the U.S.S.R.,(1992),15,87 min,"
Crime, Drama, Thriller            ",4.8,,"
    During Gorbatchov's perestroika, Archer Sloan, a Chicago student, visits Moscow while the Soviet Union is changing from Communist to Wild West capitalist society. Purely by bad luck, he ...                See full summary »
",Deran Sarafian,Frank Whaley,Natalya Negoda,Roman Polanski,Andrew Divoff,391,$0.50M
The Inspector,(1962),A,112 min,"
Drama, History, Romance            ",6.8,,"
    At the end of WW2, a compassionate Dutch policeman helps smuggle a Jewish woman into British Palestine.",Philip Dunne,Stephen Boyd,Dolores Hart,Leo McKern,Hugh Griffith,386,
The Cape Town Affair,(1967),PG,96 min,"
Drama, Thriller            ",4.3,,"
    South African secret agents attempt to save confidential microfilm before it falls into the hands of Communists.",Robert D. Webb,James Brolin,Jacqueline Bisset,Claire Trevor,Bob Courtney,375,
Nine Hours to Rama,(1963),A,124 min,"
Crime, Drama, History            ",6.5,,"
    Fictional narrative of Hindu militant activist Nathuram Godse's plan to kill Mahatma Gandhi and of police officer Gopal Das' task to find the killer before it's too late.",Mark Robson,Horst Buchholz,José Ferrer,Valerie Gearon,Don Borisenko,374,$2.18M
Mine Own Executioner,(1947),A,108 min,"
Drama, Thriller            ",6.8,,"
    Pretty Molly Lucian (Barbara White) enlists the reluctant aid of psychologist Felix Milne (Burgess Meredith) in treating her potentially homicidal husband Adam (Kieron Moore), who refuses ...                See full summary »
",Anthony Kimmins,Burgess Meredith,Dulcie Gray,Michael Shepley,Christine Norden,372,
Space Master X-7,(1958),A,71 min,"
Horror, Sci-Fi, Thriller            ",5.3,,"
    A fungus brought from space threatens to grow and spread, devouring everyone in its path.",Edward Bernds,Bill Williams,Lyn Thomas,Robert Ellis,Paul Frees,346,
 Legends,(2014–2015),16,45 min,"
Action, Crime, Drama            ",7.6,,"
    Martin assumes the legend of Dante Auerbach, an international arms dealer known as the ""Lord of War,"" in order to track the sale of VX gas and rescue kidnapped chemist Richard Hubbard. He ...                See full summary »
",Brad Turner,Sean Bean,Ali Larter,Morris Chestnut,Tina Majorino,339,
Moving Violation,(1976),AA,91 min,"
Comedy, Crime, Drama            ",5.6,,"
    A young drifter (Stephen McHattie) and his newly acquired girlfriend (Kay Lenz) witness a corrupt local Sheriff kill his deputy, soon becoming the prime suspects they set off across country to evade capture.",Charles S. Dubin,Stephen McHattie,Kay Lenz,Eddie Albert,Lonny Chapman,329,
The Salzburg Connection,(1972),A,93 min,"
Crime, Drama, Mystery            ",5.3,,"
    A list of agents and collaborators, hidden by the Nazis in an Austrian lake in 1945, is sought after by various interested parties during the Cold War.",Lee H. Katzin,Barry Newman,Anna Karina,Klaus Maria Brandauer,Karen Jensen,321,
 Legends,(2014–2015),16,45 min,"
Action, Crime, Drama            ",8.2,,"
    Amid concerns raised by the FBI psychiatrist, Martin is required to take time off. Instead he continues his off-book operation to uncover his own identity. Under cover of a new legend he tracks down McComb's contacts in Texas.",Karen Gaviola,Sean Bean,Ali Larter,Morris Chestnut,Tina Majorino,316,
She Devil,(1957),A,77 min,"
Crime, Horror, Sci-Fi            ",5.7,,"
    Doctors Scott and Bach inject the dying Kyra Zelas with a formula which saves her life - but also renders her almost immortal and wickedly evil.",Kurt Neumann,Mari Blanchard,Jack Kelly,Albert Dekker,John Archer,312,
 Legends,(2014–2015),16,42 min,"
Action, Crime, Drama            ",8.0,,"
    Martin gets the Colonel and Ana Paulanos captured after purchasing VX gas from them. One of the Colonel's followers discharges VX gas on a crowded bus and guarantees to strike again if the Colonel and Ana aren't freed.",Deran Sarafian,Sean Bean,Ali Larter,Morris Chestnut,Tina Majorino,305,
Johnny Firecloud,(1975),18,99 min,"
Crime, Drama, Thriller            ",6.4,,"
    Young American Indian gets out of the army and returns home to find his tribe victimized by a white rancher.",William Allen Castleman,Victor Mohica,Ralph Meeker,David Canary,Frank DeKova,298,
Moss Rose,(1947),A,82 min,"
Mystery, Thriller            ",6.7,,"
    Set in turn-of-the-century London, a woman trying to solve the mystery of a friend's murder finds that she may be the next victim.",Gregory Ratoff,Peggy Cummins,Victor Mature,Ethel Barrymore,Vincent Price,291,
Berlin Correspondent,(1942),U,70 min,"
Drama, Thriller            ",6.2,,"
    American correspondent Bill Roberts is a thorn in the side of the Nazis, as his paper always scoops the world with the truth about Germany. Gestapo Captain Carl Von Rau means to plug the ...                See full summary »
",Eugene Forde,Virginia Gilmore,Dana Andrews,Mona Maris,Martin Kosleck,290,
Escape,(1948),A,78 min,"
Thriller            ",6.6,,"
    A convict sentenced to three years for killing a detective escapes from a prison and goes on the run aided by a local girl.",Joseph L. Mankiewicz,Rex Harrison,Peggy Cummins,William Hartnell,Norman Wooland,289,
Shadow of Evil,(1964),U,105 min,"
Action, Adventure, Thriller            ",5.5,,"
    An American agent is killed in Bangkok while investigating suspicious virus outbreaks in south east Asia. Agent OSS 117 is sent to Thailand to unravel the mysteries behind the man called Dr. Sinn.",André Hunebelle,Kerwin Mathews,Pier Angeli,Robert Hossein,Dominique Wilms,276,
Quiet Please: Murder,(1942),A,70 min,"
Crime, Drama, Film-Noir            ",6.4,,"
    Book thief/forger sells a fake book to a Nazi through a female agent. A detective tries to uncover who the forger is and gets in the middle of a three way struggle for rare books and revenge in a public library.",John Francis Larkin,George Sanders,Gail Patrick,Richard Denning,Lynne Roberts,273,
Under My Skin,(1950),A,86 min,"
Drama, Sport, Thriller            ",6.6,,"
    On the run from gamblers he double-crossed, expatriate jockey Danny Butler tries to justify his son's faith in him as a winner.",Jean Negulesco,John Garfield,Micheline Presle,Luther Adler,Orley Lindgren,269,
Vathikuchi,(2013),,135 min,"
Action, Thriller            ",6.3,,"
    A share auto-driver gets entangled in a plot where 3 criminals want him dead.",Kinslin,Dileepan,Anjali,Saranya Ponvannan,Sampath Raj,264,
Stopover Tokyo,(1957),U,100 min,"
Crime, Drama, Mystery            ",5.7,,"
    An American intelligence agent is sent to Tokyo to track down a Communist spy ring.",Richard L. Breen,Robert Wagner,Joan Collins,Edmond O'Brien,Ken Scott,254,
Night Train to Paris,(1964),U,65 min,"
Thriller, Drama            ",4.9,,"
    Former OSS officer Alan Holiday, now living in London, is visited on New Year's Eve by Catherine Carrel who says she is a close friend of Jules Lemoine who served with Holiday during the ...                See full summary »
",Robert Douglas,Leslie Nielsen,Aliza Gur,Dorinda Stevens,Eric Pohlmann,248,
Intent to Kill,(1958),A,88 min,"
Crime, Drama, Thriller            ",6.6,,"
    A British doctor working in a Canadian hospital, has to assist in a delicate brain operation on a South American President, who is in hiding from a gang of assassins.",Jack Cardiff,Richard Todd,Betsy Drake,Herbert Lom,Warren Stevens,248,
 Cold Case,(2003–2010),15,44 min,"
Crime, Drama, Mystery            ",8.1,,"
    An apartment building doorman is murdered while his girlfriend dances at the Rocky Horror Picture Show, and Lilly tries to pursue the killer.",Alex Zakrzewski,Kathryn Morris,Danny Pino,John Finn,Jeremy Ratchford,233,
I Mobster,(1959),X,81 min,"
Crime, Drama, Thriller            ",6.2,,"
    The rise and fall of gang lord Joe Sante.",Roger Corman,Steve Cochran,Lita Milan,Robert Strauss,Celia Lovsky,233,
The Girl in the News,(1940),,78 min,"
Crime, Thriller            ",6.7,,"
    Nurse Anne Graham (Margaret Lockwood) is controversially, but rightly, acquitted of murder after her elderly patient dies under suspicious circumstances. Changing her name, she gets a ...                See full summary »
",Carol Reed,Margaret Lockwood,Barry K. Barnes,Emlyn Williams,Roger Livesey,217,
 Gang Related,(2014),,46 min,"
Action, Crime, Drama            ",7.8,,"
    A member of the LAPD's Gang Task Force tries to hide his allegiance to the underworld kingpin who secretly put him through the police academy in this drama series. In the premiere, Ryan ...                See full summary »
",Allen Hughes,Ramon Rodriguez,Jay Hernandez,RZA,Sung Kang,212,
 Those Who Kill,(2014),Not Rated,50 min,"
Action, Crime, Drama            ",7.8,,"
    A drama about serial killers: the ultimate violent criminals who are surrounded by fear and mystique. When murders are not grounded in traditional motives and patterns of behavior, it takes...                See full summary »
",Joe Carnahan,Chloë Sevigny,James D'Arcy,James Morrison,Bruce Davison,211,
Pretty Poison,(1996 TV Movie),15,85 min,"
Romance, Thriller            ",4.6,,"
    A clueless cheerleader falls for a mysterious young man who tells her he's a secret agent. But the truth is much simpler and darker.",David Burton Morris,Grant Show,Wendy Benson-Landes,Lynne Thigpen,Michelle Phillips,203,
To Kill a Clown,(1972),X,104 min,"
Drama, Horror, Thriller            ",5.6,,"
    A young hippie couple rent a secluded cabin on the beach in an attempt to re-connect with each other and save their marriage. Unfortunately, the man they rented the cabin from is a ...                See full summary »
",George Bloomfield,Alan Alda,Blythe Danner,Heath Lamberts,Eric Clavering,198,
The Soul Conductor,(2018),Not Rated,89 min,"
Drama, Fantasy, Horror            ",4.2,,"
    A psychological film exploring the fine line between reality and imagination.",Ilya S. Maksimov,Aleksandra Bortich,Evgeniy Tsyganov,Vladimir Yaglych,Aleksandr Robak,191,
The Return of Mr. Moto,(1965),A,71 min,"
Crime, Drama, Mystery            ",6.1,,"
    Mr. Moto goes undercover to find out who has been blowing up oil wells and trying to gain total control of all the oil leases from a petroleum-rich Middle Eastern country.",Ernest Morris,Henry Silva,Terence Longdon,Suzanne Lloyd,Marne Maitland,181,
A Life in the Balance,(1955),A,74 min,"
Crime, Mystery, Thriller            ",6.0,,"
    In Mexico City, a working-poor single-father is mistaken for a serial killer by the local cops but the man's son stumbles upon the real killer and tries to warn the police after being abducted.",Harry Horner,Rafael Portillo,Ricardo Montalban,Anne Bancroft,Lee Marvin,179,
Together Brothers,(1974),X,94 min,"
Adventure, Crime, Drama            ",6.3,,"
    A group of ghetto kids try to find out who killed a popular police officer.",William A. Graham,Ahmad Nurradin,Anthony Wilson,Nelson Sims,Kenneth Bell,170,
Count Five and Die,(1957),A,91 min,"
Drama, History, Thriller            ",6.6,,"
    American and British counter-espionage combine to convince the Germans the cross-channel invasion will be in the Netherlands instead of France.",Victor Vicas,Jeffrey Hunter,Annemarie Düringer,Nigel Patrick,David Kossoff,170,
 Gang Related,(2014),,42 min,"
Action, Crime, Drama            ",8.1,,"
    Ryan tries to find the rival gang members who shot Carlos to stop a feud from turning into a war as well as hide his own involvement in the matter. Ryan finds himself falling for Jessica.",Nelson McCormick,Ramon Rodriguez,Jay Hernandez,RZA,Sung Kang,162,
Crack-Up,(1936),A,65 min,"
Action, Crime, Drama            ",6.1,,"
    Colonel Gimpy heads a spy organization trying to get the plans for a new airplane. Test pilot Ace Martin agrees to help.",Malcolm St. Clair,Peter Lorre,Brian Donlevy,Helen Wood,Ralph Morgan,161,
The Strange Vengeance of Rosalie,(1972),X,107 min,"
Drama, Thriller            ",6.0,,"
    A traveling salesman gives a pretty hitchhiker a ride home, who then injures him to keep him captured in her run-down shack.",Jack Starrett,Bonnie Bedelia,Ken Howard,Anthony Zerbe,Sebastian,160,
Roses Are Red,(1947),A,67 min,"
Action, Crime, Drama            ",6.4,,"
    A paroled convict who bears a striking resemblance to the local District Attorney is hired by the mob to impersonate him, while the real District Attorney is kidnapped and held captive at a secret location.",James Tinling,Don Castle,Peggy Knudsen,Patricia Knight,Joe Sawyer,153,
 Gang Related,(2014),,43 min,"
Action, Crime, Drama            ",7.9,,"
    A Colombian informant is about to testify in Federal Court, but is freed by an ambush, forcing Ryan to choose between his Task Force duties and revealing the snitch's whereabouts to assist the Acosta family's quest for legitimacy.",Richard J. Lewis,Ramon Rodriguez,Jay Hernandez,RZA,Sung Kang,143,
Thunder Island,(1963),,65 min,"
Action, Drama, Thriller            ",5.2,,"
    A Central American woman hires an American hit man to assassinate the former dictator of her island country. The plan is foiled by another American while attempting to save the lives of his wife and child.",Jack Leewood,Gene Nelson,Fay Spain,Brian Kelly,Miriam Colon,142,
 Those Who Kill,(2014),Not Rated,43 min,"
Action, Crime, Drama            ",7.6,,"
    The police are investigating the beating death of 24 year-old Monica Albreath whose body was found in a dumpster in the alley behind where she worked. Catherine isn't supposed to be working...                See full summary »
",David Petrarca,Chloë Sevigny,James D'Arcy,James Morrison,Bruce Davison,140,
The 3rd Voice,(1960),A,79 min,"
Crime, Drama, Thriller            ",6.9,,"
    The bitter secretary of a businessman plans to murder him and replace him with a hired look-alike accomplice in order to drain the company's bank accounts.",Hubert Cornfield,Edmond O'Brien,Julie London,Laraine Day,Olga San Juan,135,
Lancer Spy,(1937),A,78 min,"
Adventure, Drama, Romance            ",6.4,,"
    An Englishman impersonates an imprisoned German officer and ""returns"" to Germany to become a national hero. A female German spy is assigned to check him out but falls in love with him.",Gregory Ratoff,Dolores del Rio,George Sanders,Peter Lorre,Virginia Field,132,
While I Live,(1947),A,85 min,"
Thriller            ",6.7,,"
    25 years later, a spinster still obsesses over the death of her composer sister and concludes she has returned, reincarnated, in an amnesiac woman who chances upon her house seeking help.",John Harlow,Tom Walls,Clifford Evans,Carol Raye,Patricia Burke,128,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.4,,"
    Jai Singh Rathod abandons his wife's birthday celebration to go to the ATU (Anti Terrorism Unit) headquarters for an urgent briefing. This angers the wife and daughter who thinks that he ...                See full summary »
",Abhinay Deo,Anil Kapoor,Neil Bhoopalam,Tisca Chopra,Shivani Tanksale,81,
The Yellow Canary,(1963),A,93 min,"
Drama, Mystery, Thriller            ",6.6,,"
    Andy (Pat Boone) is an arrogant pop singer about to be divorced by his wife (Barbara Eden) who treats his staff badly. On the same night he starts a job at a theater in Los Angeles his ...                See full summary »
",Buzz Kulik,Pat Boone,Barbara Eden,Steve Forrest,Jack Klugman,74,
Secret Agent of Japan,(1942),A,72 min,"
Mystery, Romance, Thriller            ",6.9,,"
    Kay Murdock (Lynn Bari) strolls into the Dixie Bar in Shanghai on November 1, 1941 and asks the bartender for a letter addressed to Captain Larsen, and is referred to Roy Bonnell (Preston ...                See full summary »
",Irving Pichel,Preston Foster,Lynn Bari,Noel Madison,Victor Sen Yung,68,
The Snow Man,(1940),,8 min,"
Animation, Short, Horror            ",5.9,,"
    An angry snow man chases after furry little South Pole creatures.",Mannie Davis,,,,,63,
The Last Shot You Hear,(1969),X,90 min,"
Thriller            ",5.2,,"
    Murder plot involving a writer, his wife and her lover.",Gordon Hessler,Hugh Marlowe,Zena Walker,Patricia Haines,William Dysart,62,
The Crimson Key,(1947),A,76 min,"
Action, Crime, Mystery            ",6.8,,"
    A red key to a public locker is also the key to solving a string of mysterious murders investigated by private eye Larry Morgan.",Eugene Forde,Kent Taylor,Doris Dowling,Dennis Hoey,Louise Currie,60,
Lure of the Swamp,(1957),A,75 min,"
Adventure, Crime, Drama            ",5.5,,"
    Simon Lute ekes out a modest living chartering his skiff to tourists and guiding them through the labyrinthine bayou. When a mysterious stranger asks him to take them deep into the swamp, ...                See full summary »
",Hubert Cornfield,Marshall Thompson,Willard Parker,Joan Vohs,Jack Elam,52,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.1,,"
    Jai's plans to find his daughter are sidetracked when he gets a call from RAW agent Wasim Khan (Anupam Kher), who is being stalked by assassins connected with the Aditya Singhania hit. ...                See full summary »
",Abhinay Deo,Anil Kapoor,Neil Bhoopalam,Tisca Chopra,Shivani Tanksale,47,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.4,,"
    Jai follows a lead from Wasim's card. At ATU, Nina Myers and Jia decide to go against Gill's orders and help Jai. Kiran is handed off to Yakub's men while Jhanvi is taken to the hospital.",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Ajinkya Deo,40,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.6,,"
    The files on Wasim's SD card finger Nikita Rai as a dirty agent. Kiran and Jhanvi try to escape from their captors while Trisha and Abhay continue their search.",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Ajinkya Deo,40,
Half Life,(2006),,15 min,"
Short, Horror, Thriller            ",7.8,,"
    Alone among rotting corpses, a fraternity pledge must complete his initiation. But things take a horrifying turn when the dead begin to stir. Is it a cruel hoax or are the dead coming back to life?",Jeremy Breslau,Eric Lee Hobbs,Brayden Pierce,Joy Somers,Thomas Kopache,38,
 Thief,(2006– ),,60 min,"
Crime, Drama, Thriller            ",6.7,,"
    Nick prepares for his wife's funeral, the crew questions Nick's plans for their next heist.",John David Coles,Andre Braugher,Mae Whitman,Yancey Arias,Clifton Collins Jr.,38,
 Thief,(2006– ),,,"
Crime, Drama, Thriller            ",6.7,,"
    Roz's murder leaves Nick and his crew without a vital piece of information about their next heist. Nick tries to reach out to his stepdaughter.",Dean White,Andre Braugher,Mae Whitman,Yancey Arias,Clifton Collins Jr.,35,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.9,,"
    While Aditya tears his resignation letter, Jai manages to track down the assassin. Will Jai be able to kill him?",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,34,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.3,,"
    Kiran and Rohit are taken to Yakub's compound on the outskirts of the city. Jai finds an unidentified body connected to Yakub in the trunk of a car. Abhay and Trisha wait in the hospital as Jhanvi undergoes surgery.",Nitya Mehra,Anil Kapoor,Mandira Bedi,Tisca Chopra,Ajinkya Deo,34,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",7.8,,"
    Jai and Trisha are briefly reunited at the hospital, where Jai warns the doctors not to let anyone near Jhanvi. Yakub contacts Jai and tells him that he has kidnapped Kiran. Jai must follow...                See full summary »
",Nitya Mehra,Anil Kapoor,Mandira Bedi,Tisca Chopra,Ajinkya Deo,34,
The Abductors,(1957),A,80 min,"
Crime, Drama, Film-Noir            ",5.4,,"
    Two men plot to steal and hold for ransom the remains of President Abraham Lincoln.",Andrew V. McLaglen,Victor McLaglen,George Macready,Fay Spain,Gavin Muir,33,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.3,,"
    Three years later; ATU receives a threat that Haroon Sherchan is planning on releasing a deadly contagious virus in Mumbai unless his brother Roshan Sherchan is released out of prison.",Renzil D'Silva,Abhinay Deo,Nivedita Basu,Anil Kapoor,Sakshi Tanwar,31,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.3,,"
    Mihir decodes the information of the plastic surgeons from the card. Naina accuses Prithvi of leaking the St. Stephen's story to Mehek. Further, Yakub asks Jai to replace the pre-existing SD card.",Nitya Mehra,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,25,
The Vatican Affair,(1968),M/PG,94 min,"
Action, Adventure, Crime            ",5.6,,"
    A blind professor masterminds the theft of treasure from St. Peter's Basilica in Rome.",Emilio Miraglia,Walter Pidgeon,Ira von Fürstenberg,Klaus Kinski,Marino Masé,25,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.7,,"
    Jai delivers a cell phone that is unknowingly rigged to explode to Aditya. Veer manages to escape. Vikrant is shot by Divya.",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,24,
 24,(2013– ),,,"
Action, Adventure, Crime            ",9.4,,"
    Roshan tells Jai to kill Mallick in order to stop the release of another virus.",Karan Boolani,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,Surveen Chawla,22,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.6,,"
    Jai, Gyan and Haroon discuss as to how difficult it is to take out Roshan from jail.",Renzil D'Silva,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,Surveen Chawla,22,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.6,,"
    Aditya comes to learn that Vikrant is involved in his assassination attempt. Mihir and Nikita learn that Veer has been captured. Bala is given to Raja by Gill and Tejpal.",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,22,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.0,,"
    Jai is arrested as the assassin. He tells Farooqui that Aditya's life is still in danger, but Farooqui ignores his plea. Further, Jai enters an abandoned construction site and takes refuge there.",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,22,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.6,,"
    Nikita Rai and Tejpal Singh (Adhir Bhatt) realize that Jia is the mole inside ATU and is communicating with Yakub. Using instructions and equipment from Yakub, Jai gets in to see Aditya's ...                See full summary »
",Nitya Mehra,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,22,
 24,(2013– ),,,"
Action, Adventure, Crime            ",9.6,,"
    Jai, proceeds to completing the mission after killing Roshan on a noose, which provides an ironic ending to Roshans Part in the show. Along with Maddy, Jai tracks the signal to a NGO to ind...                See full summary »
",Renzil D'Silva,Abhinay Deo,Nivedita Basu,Anil Kapoor,Akash Khurana,21,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.0,,"
    Jai informs Roshan that Haroon has sent him to break him out of prison before he is hanged to death. Omkar (Maya's father) disposes of the body of the man Haroon killed earlier and warns Maya not to run away, as he is scared of Haroon thinking he might kill him and Maya as well. Naina visits Aditya and Prithvi in Mumbai and urges him to free Divya as she is family.",Renzil D'Silva,Abhinay Deo,Nivedita Basu,Anil Kapoor,Ashish Vidyarthi,21,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.2,,"
    Tej learns of a financial transaction that took place between Tarun and Yakub. Jai asks Nikita to fix an appointment with Tarun Khosla. Meanwhile, Abhilasha Grewal replaces Jai as the new ATU chief.",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,21,
Half Past Midnight,(1948),A,69 min,"
Action, Adventure, Crime            ",5.8,,"
    A man with an affinity for trouble meets a girl in distress in a nightclub. She becomes involved in the murder of a Spanish dancer and both of them become major suspects. The couple, ...                See full summary »
",William F. Claxton,Kent Taylor,Peggy Knudsen,Joe Sawyer,Walter Sande,21,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.2,,"
    Jai makes it into Yakub's camp and enlists Rohit's help to secure for a vehicle in which to escape. Yakub quickly finds out when Karthik is found unconscious and chaos ensues. Jai manages ...                See full summary »
",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,19,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.2,,"
    Naina learns about Megha Singhania's involvement in Mehek Ahuja's story. Tej tells Nikita that they won't be able to help Jai in Abhilasha's presence. Jai confronts Tarun about Trisha and Kiran",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,19,
The Frog,(1937),,75 min,"
Adventure, Crime, Mystery            ",6.5,,"
    Police Captain Gordon and Sergeant Elk set out to put an end to the activities of a criminal mastermind who calls himself The Frog. They encounter blackmail, murder, arson and robbery along...                See full summary »
",Jack Raymond,Noah Beery,Jack Hawkins,Richard Ainley,Vivian Gaye,19,
 24,(2013– ),,,"
Action, Adventure, Crime            ",8.7,,"
    Maya instigates Haroon and tries to retrieve information about the consignment from him.",Renzil D'Silva,Abhinay Deo,Nivedita Basu,Anil Kapoor,Sakshi Tanwar,18,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",7.7,,"
    As Raja and the soldiers enter the detention facility, Jai and Murad escape along with the prisoners. Nikita and Mihir discover some shocking information and send it to Jai.",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,18,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.1,,"
    Kiran kills Max and rescues Trisha from the Jeep. Meanwhile, at the Singhania hotel, the technicians wire Bala's room with fiber optic cameras and Jai briefs Pooja on her role in catching Bala.",Renzil D'Silva,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,18,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",7.1,,"
    After the car explosion, Trisha and Kiran are separated from Jai and Rohit. Abhilasha tells Nikita and Tejpal to interrogate Jia's mother about the 20 lakhs transferred to her account.",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,18,
The Colony,(II) (2007),,14 min,"
Short, Thriller            ",7.2,,"
    A Penn State professor vanishes while hiking in Chile - his sister tries to discover the truth of what happened, and encounters a web of lies.",Steven List,Sarah Clarke,Adam Donshik,Bailey Ann Scheller,Scott Sharot,18,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.1,,"
    After seeing photos of all the assassins, Pooja discover that Bala is one of the assassins. Trisha and Kiran are attacked in the safehouse. Divya and Pradhan discuss about the security in the rally.",Renzil D'Silva,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,17,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",7.7,,"
    Jai gets shocked when Aditya asks him, why he wants to kill him. But Jai tells him that he was trying to protect him, at the Union Leader's meeting.",Renzil D'Silva,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,17,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.4,,"
    Jai discovers a top secret detention center houses someone from his past. Trisha faints at ATU .Veer finds himself in jail. Raja and his soldiers raid the detention center.",Abhinay Deo,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,16,
White Hunter,(1936),,65 min,"
Adventure, Romance, Thriller            ",6.4,,"
    Safari guide (Baxter) is hired by the man (Lawson) who was responsible for his father's death.",Irving Cummings,Warner Baxter,June Lang,Gail Patrick,Alison Skipworth,16,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",8.1,,"
    Gill learns that Trisha and Kiran are safe and are on their way to ATU. Meanwhile, Jai and the other agents try to control the crowd at Eden Park and get information about the dead MSEB worker.",Renzil D'Silva,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,15,
 24,(2013– ),,45 min,"
Action, Adventure, Crime            ",7.3,,"
    Jai poses as Bala and goes to meet a contact who has vital information. However, a ATU agent with a grudge against Jai might risk the success of the mission. ATU agent Siddharth meets Trisha and Kiran at the accident spot.",Renzil D'Silva,Anil Kapoor,Mandira Bedi,Tisca Chopra,Neil Bhoopalam,15,
